127.0.0.1 - - [03/Aug/2026 12:07:42] "HEAD /index.html HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:09:45] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:09:45] "GET /js/ai_concierge.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:09:45] "GET /css/common.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:09:45] "GET /js/common.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:09:47] "GET /images/owada_park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:09:47] "GET /images/omiya_park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:09:47] "GET /images/akigase_park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:09:47] "GET /images/shinrin_park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:09:47] "GET /images/kita_urawa_park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:09:48] "GET /js/slider_content.json HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:09:48] "GET /js/config.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:11:23] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:11:23] "GET /css/common.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:11:23] "GET /js/ai_concierge.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:11:23] "GET /js/common.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:11:24] "GET /images/omiya_park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:11:24] "GET /images/owada_park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:11:24] "GET /images/kita_urawa_park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:11:24] "GET /images/shinrin_park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:11:24] "GET /images/akigase_park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:11:25] "GET /js/slider_content.json HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:11:25] "GET /js/config.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:13:28] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:13:28] "GET /css/common.css HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:13:28] "GET /js/ai_concierge.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:13:28] "GET /js/common.js HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:13:28] "GET /images/owada_park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:13:28] "GET /images/omiya_park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:13:29] "GET /images/kita_urawa_park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:13:29] "GET /images/shinrin_park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:13:29] "GET /images/akigase_park.jpg HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:13:30] "GET /js/slider_content.json HTTP/1.1" 200 -
127.0.0.1 - - [03/Aug/2026 12:13:30] "GET /js/config.js HTTP/1.1" 200 -
